FirstCardRank,SecondCardRank,suited,players,winEquity,drawEquity
2,2,false,2,0.48862,0.0113798
2,2,false,3,0.293651,0.00453515
2,2,false,4,0.219251,0.00534759
2,2,false,5,0.185784,0.000807754
2,2,false,6,0.153333,0.00181818
2,2,false,7,0.15874,0
2,2,false,8,0.159449,0
3,3,false,2,0.528873,0.00672166
3,3,false,3,0.337618,0.00385604
3,3,false,4,0.236785,0.00323625
3,3,false,5,0.199433,0.00283286
3,3,false,6,0.171633,0.00417163
3,3,false,7,0.147002,0.00128949
3,3,false,8,0.136299,0
4,4,false,2,0.571656,0.00796178
4,4,false,3,0.374578,0.00295608
4,4,false,4,0.279548,0.0020555
4,4,false,5,0.196169,0.00174115
4,4,false,6,0.171717,0.00189394
4,4,false,7,0.151358,0.000646831
4,4,false,8,0.133758,0.000707714
5,5,false,2,0.585417,0.00416667
5,5,false,3,0.391208,0.00399645
5,5,false,4,0.263669,0.000510986
5,5,false,5,0.231722,0.00557621
5,5,false,6,0.177665,0.00126904
5,5,false,7,0.173577,0.00210822
5,5,false,8,0.143377,0.000727802
6,6,false,2,0.634395,0.00402103
6,6,false,3,0.420958,0.00179131
6,6,false,4,0.303571,0.00105042
6,6,false,5,0.258184,0.001853
6,6,false,6,0.190891,0.00401875
6,6,false,7,0.172786,0.00143988
6,6,false,8,0.158742,0
7,7,false,2,0.66777,0.00361119
7,7,false,3,0.445976,0.00444642
7,7,false,4,0.352683,0.00109529
7,7,false,5,0.266032,0.00126984
7,7,false,6,0.218878,0
7,7,false,7,0.178232,0.00219138
7,7,false,8,0.162328,0
8,8,false,2,0.704616,0.00249532
8,8,false,3,0.484701,0.00221729
8,8,false,4,0.399301,0
8,8,false,5,0.291107,0.00127959
8,8,false,6,0.241947,0
8,8,false,7,0.190045,0
8,8,false,8,0.171084,0.000803213
9,9,false,2,0.724791,0.00124108
9,9,false,3,0.536073,0.00273973
9,9,false,4,0.400114,0.00228964
9,9,false,5,0.324531,0.00138985
9,9,false,6,0.275573,0.00152672
9,9,false,7,0.218501,0.000797448
9,9,false,8,0.215247,0
10,10,false,2,0.751145,0.000305344
10,10,false,3,0.580299,0.000466853
10,10,false,4,0.463599,0.000582411
10,10,false,5,0.372794,0.000735294
10,10,false,6,0.305921,0.00164474
10,10,false,7,0.247292,0
10,10,false,8,0.227358,0.000943396
J,J,false,2,0.781361,0.00096743
J,J,false,3,0.609235,0.000496524
J,J,false,4,0.493433,0.000625391
J,J,false,5,0.402502,0.00220751
J,J,false,6,0.338926,0.00251678
J,J,false,7,0.293468,0.000919963
J,J,false,8,0.247363,0
Q,Q,false,2,0.79833,0.00061862
Q,Q,false,3,0.657741,0.00194742
Q,Q,false,4,0.539909,0.000648929
Q,Q,false,5,0.484512,0
Q,Q,false,6,0.39001,0.00288184
Q,Q,false,7,0.330144,0
Q,Q,false,8,0.299376,0
K,K,false,2,0.830946,0
K,K,false,3,0.715702,0.00156495
K,K,false,4,0.583168,0.00198807
K,K,false,5,0.520668,0.000794913
K,K,false,6,0.445455,0
K,K,false,7,0.36961,0
K,K,false,8,0.332972,0.0010846
A,A,false,2,0.861007,0.000310945
A,A,false,3,0.762154,0.00104548
A,A,false,4,0.654557,0.00198151
A,A,false,5,0.597682,0
A,A,false,6,0.513807,0
A,A,false,7,0.480392,0.00108932
A,A,false,8,0.394767,0.00113766
2,3,true,2,0.309868,0.0460526
3,2,true,2,0.309868,0.0460526
2,3,true,3,0.220393,0.0268968
3,2,true,3,0.220393,0.0268968
2,3,true,4,0.162033,0.0139022
3,2,true,4,0.162033,0.0139022
2,3,true,5,0.126607,0.0113749
3,2,true,5,0.126607,0.0113749
2,3,true,6,0.117617,0.00712831
3,2,true,6,0.117617,0.00712831
2,3,true,7,0.111726,0.00884956
3,2,true,7,0.111726,0.00884956
2,3,true,8,0.1052,0.0101614
3,2,true,8,0.1052,0.0101614
2,4,true,2,0.331226,0.0417193
4,2,true,2,0.331226,0.0417193
2,4,true,3,0.210858,0.0188828
4,2,true,3,0.210858,0.0188828
2,4,true,4,0.164062,0.0160846
4,2,true,4,0.164062,0.0160846
2,4,true,5,0.141809,0.0112469
4,2,true,5,0.141809,0.0112469
2,4,true,6,0.11157,0.00774793
4,2,true,6,0.11157,0.00774793
2,4,true,7,0.104784,0.00968109
4,2,true,7,0.104784,0.00968109
2,4,true,8,0.0994734,0.00819193
4,2,true,8,0.0994734,0.00819193
2,5,true,2,0.32799,0.0442449
5,2,true,2,0.32799,0.0442449
2,5,true,3,0.232517,0.0240385
5,2,true,3,0.232517,0.0240385
2,5,true,4,0.169098,0.0214221
5,2,true,4,0.169098,0.0214221
2,5,true,5,0.138658,0.0146987
5,2,true,5,0.138658,0.0146987
2,5,true,6,0.135456,0.012952
5,2,true,6,0.135456,0.012952
2,5,true,7,0.113274,0.0147493
5,2,true,7,0.113274,0.0147493
2,5,true,8,0.0915856,0.00801374
5,2,true,8,0.0915856,0.00801374
2,6,true,2,0.351292,0.0441084
6,2,true,2,0.351292,0.0441084
2,6,true,3,0.239032,0.0184502
6,2,true,3,0.239032,0.0184502
2,6,true,4,0.185339,0.0193638
6,2,true,4,0.185339,0.0193638
2,6,true,5,0.137809,0.0111055
6,2,true,5,0.137809,0.0111055
2,6,true,6,0.119419,0.0129102
6,2,true,6,0.119419,0.0129102
2,6,true,7,0.117579,0.0132565
6,2,true,7,0.117579,0.0132565
2,6,true,8,0.0896675,0.00890736
6,2,true,8,0.0896675,0.00890736
2,7,true,2,0.370171,0.0406449
7,2,true,2,0.370171,0.0406449
2,7,true,3,0.240885,0.0282671
7,2,true,3,0.240885,0.0282671
2,7,true,4,0.173309,0.0180723
7,2,true,4,0.173309,0.0180723
2,7,true,5,0.146674,0.0163577
7,2,true,5,0.146674,0.0163577
2,7,true,6,0.118093,0.0119177
7,2,true,6,0.118093,0.0119177
2,7,true,7,0.11276,0.00830861
7,2,true,7,0.11276,0.00830861
2,7,true,8,0.0964567,0.00787402
7,2,true,8,0.0964567,0.00787402
2,8,true,2,0.366442,0.0408229
8,2,true,2,0.366442,0.0408229
2,8,true,3,0.235723,0.0214662
8,2,true,3,0.235723,0.0214662
2,8,true,4,0.19188,0.0217496
8,2,true,4,0.19188,0.0217496
2,8,true,5,0.141476,0.0127226
8,2,true,5,0.141476,0.0127226
2,8,true,6,0.119337,0.0154696
8,2,true,6,0.119337,0.0154696
2,8,true,7,0.108455,0.0104956
8,2,true,7,0.108455,0.0104956
2,8,true,8,0.0967742,0.0116129
8,2,true,8,0.0967742,0.0116129
2,9,true,2,0.40103,0.0312198
9,2,true,2,0.40103,0.0312198
2,9,true,3,0.246161,0.0215007
9,2,true,3,0.246161,0.0215007
2,9,true,4,0.188906,0.0184908
9,2,true,4,0.188906,0.0184908
2,9,true,5,0.1518,0.010433
9,2,true,5,0.1518,0.010433
2,9,true,6,0.134615,0.0110723
9,2,true,6,0.134615,0.0110723
2,9,true,7,0.114734,0.00845411
9,2,true,7,0.114734,0.00845411
2,9,true,8,0.100804,0.0142239
9,2,true,8,0.100804,0.0142239
2,10,true,2,0.419729,0.0344939
10,2,true,2,0.419729,0.0344939
2,10,true,3,0.267279,0.0258093
10,2,true,3,0.267279,0.0258093
2,10,true,4,0.193659,0.0180488
10,2,true,4,0.193659,0.0180488
2,10,true,5,0.161718,0.0201485
10,2,true,5,0.161718,0.0201485
2,10,true,6,0.131046,0.0140607
10,2,true,6,0.131046,0.0140607
2,10,true,7,0.119852,0.0147511
10,2,true,7,0.119852,0.0147511
2,10,true,8,0.113409,0.012008
10,2,true,8,0.113409,0.012008
2,J,true,2,0.465425,0.0312599
J,2,true,2,0.465425,0.0312599
2,J,true,3,0.300174,0.0199826
J,2,true,3,0.300174,0.0199826
2,J,true,4,0.19469,0.0162242
J,2,true,4,0.19469,0.0162242
2,J,true,5,0.166485,0.0174672
J,2,true,5,0.166485,0.0174672
2,J,true,6,0.14327,0.0184864
J,2,true,6,0.14327,0.0184864
2,J,true,7,0.124922,0.0111871
J,2,true,7,0.124922,0.0111871
2,J,true,8,0.114424,0.0110957
J,2,true,8,0.114424,0.0110957
2,Q,true,2,0.480836,0.0272411
Q,2,true,2,0.480836,0.0272411
2,Q,true,3,0.327496,0.0214536
Q,2,true,3,0.327496,0.0214536
2,Q,true,4,0.24,0.0197468
Q,2,true,4,0.24,0.0197468
2,Q,true,5,0.195122,0.0164634
Q,2,true,5,0.195122,0.0164634
2,Q,true,6,0.154769,0.0157928
Q,2,true,6,0.154769,0.0157928
2,Q,true,7,0.130575,0.0168067
